player_name,team,season,contract_average,cap_hit,cap_percentage
Kenneth Walker III,Seahawks,2025,"2,110,395.00","2,693,517",1.01
Saquon Barkley,Eagles,2024,"12,583,333.00","$3,800,000",4.93
Clyde Edwards-Helaire,Chiefs,2023,"2,705,393.00","3,443,228",1.36
Jerick McKinnon,Chiefs,2022,"1,272,500.00","1,047,500",0.61
Sony Michel,Rams,2021,"2,406,674.00","1,792,731",1.36
Leonard Fournette,Buccaneers,2020,"2,000,000.00","2,500,000",1.01
LeSean McCoy,Chiefs,2019,"3,000,000.00","3,000,000",1.59
James White,Patriots,2018,"4,000,000.00","3,000,000",2.4
Darren Sproles,Eagles,2017,"4,500,000.00","4,000,000",2.9
Dion Lewis,Patriots,2016,"1,300,000.00","1,272,500",0.91
Ronnie Hillman,Broncos,2015,"750,208.00","942,708",0.62
Shane Vereen,Patriots,2014,"865,288.00","1,101,275",0.72
Marshawn Lynch,Seahawks,2013,"7,500,000.00","8,500,000",6.22
Ray Rice,Ravens,2012,"7,000,000.00","5,000,000",5.8
Brandon Jacobs,Giants,2011,"6,250,000.00","6,750,000",5.08