No.,Date,Year,Site,Winner,Loser,Winner Score,Loser Score
I,"Jan. 15, 1967",1967,Los Angeles Memorial Coliseum,Green Bay,Kansas City,35.0,10.0
II,"Jan. 14, 1968",1968,Orange Bowl (Miami),Green Bay,Oakland,33.0,14.0
III,"Jan. 12, 1969",1969,Orange Bowl (Miami),New York Jets,Baltimore,16.0,7.0
IV,"Jan. 11, 1970",1970,Tulane Stadium (New Orleans),Kansas City,Minnesota,23.0,7.0
V,"Jan. 17, 1971",1971,Orange Bowl (Miami),Baltimore,Dallas,16.0,13.0
VI,"Jan. 16, 1972",1972,Tulane Stadium (New Orleans),Dallas,Miami,24.0,3.0
VII,"Jan. 14, 1973",1973,Los Angeles Memorial Coliseum,Miami,Washington,14.0,7.0
VIII,"Jan. 13, 1974",1974,Rice Stadium (Houston),Miami,Minnesota,24.0,7.0
IX,"Jan. 12, 1975",1975,Tulane Stadium (New Orleans),Pittsburgh,Minnesota,16.0,6.0
X,"Jan. 18, 1976",1976,Orange Bowl (Miami),Pittsburgh,Dallas,21.0,17.0
XI,"Jan. 9, 1977",1977,"Rose Bowl (Pasadena, Calif.)",Oakland,Minnesota,32.0,14.0
XII,"Jan. 15, 1978",1978,Superdome (New Orleans),Dallas,Denver,27.0,10.0
XIII,"Jan. 21, 1979",1979,Orange Bowl (Miami),Pittsburgh,Dallas,35.0,31.0
XIV,"Jan. 20, 1980",1980,"Rose Bowl (Pasadena, Calif.)",Pittsburgh,Los Angeles Rams,31.0,19.0
XV,"Jan. 25, 1981",1981,Superdome (New Orleans),Oakland,Philadelphia,27.0,10.0
XVI,"Jan. 24, 1982",1982,"Silverdome (Pontiac, Mich.)",San Francisco,Cincinnati,26.0,21.0
XVII,"Jan. 30, 1983",1983,"Rose Bowl (Pasadena, Calif.)",Washington,Miami,27.0,17.0
XVIII,"Jan. 22, 1984",1984,Tampa (Fla.) Stadium,Los Angeles Raiders,Washington,38.0,9.0
XIX,"Jan. 20, 1985",1985,Stanford (Calif.) Stadium,San Francisco,Miami,38.0,16.0
XX,"Jan. 26, 1986",1986,Superdome (New Orleans),Chicago,New England,46.0,10.0
XXI,"Jan. 25, 1987",1987,"Rose Bowl (Pasadena, Calif.)",New York Giants,Denver,39.0,20.0
XXII,"Jan. 31, 1988",1988,Jack Murphy Stadium (San Diego),Washington,Denver,42.0,10.0
XXIII,"Jan. 22, 1989",1989,Joe Robbie Stadium (Miami),San Francisco,Cincinnati,20.0,16.0
XXIV,"Jan. 28, 1990",1990,Superdome (New Orleans),San Francisco,Denver,55.0,10.0
XXV,"Jan. 27, 1991",1991,Tampa (Fla.) Stadium,New York Giants,Buffalo,20.0,19.0
XXVI,"Jan. 26, 1992",1992,Metrodome (Minneapolis),Washington,Buffalo,37.0,24.0
XXVII,"Jan. 31, 1993",1993,"Rose Bowl (Pasadena, Calif.)",Dallas,Buffalo,52.0,17.0
XXVIII,"Jan. 30, 1994",1994,Georgia Dome (Atlanta),Dallas,Buffalo,30.0,13.0
XXIX,"Jan. 29, 1995",1995,Joe Robbie Stadium (Miami),San Francisco,San Diego,49.0,26.0
XXX,"Jan. 28, 1996",1996,"Sun Devil Stadium (Tempe, Ariz.)",Dallas,Pittsburgh,27.0,17.0
XXXI,"Jan. 26, 1997",1997,Superdome (New Orleans),Green Bay,New England,35.0,21.0
XXXII,"Jan. 25, 1998",1998,Qualcomm Stadium (San Diego),Denver,Green Bay,31.0,24.0
XXXIII,"Jan. 31, 1999",1999,Pro Player Stadium (Miami),Denver,Atlanta,34.0,19.0
XXXIV,"Jan. 30, 2000",2000,Georgia Dome (Atlanta),St. Louis,Tennessee,23.0,16.0
XXXV,"Jan. 28, 2001",2001,"Raymond James Stadium (Tampa, Fla.)",Baltimore,New York Giants,34.0,7.0
XXXVI,"Feb. 3, 2002",2002,Superdome (New Orleans),New England,St. Louis,20.0,17.0
XXXVII,"Jan. 26, 2003",2003,Qualcomm Stadium (San Diego),Tampa Bay,Oakland,48.0,21.0
XXXVIII,"Feb. 1, 2004",2004,Reliant Stadium (Houston),New England,Carolina,32.0,29.0
XXXIX,"Feb. 6, 2005",2005,"Alltel Stadium (Jacksonville, Fla.)",New England,Philadelphia,24.0,21.0
XL,"Feb. 5, 2006",2006,Ford Field (Detroit),Pittsburgh,Seattle,21.0,10.0
XLI,"Feb. 4, 2007",2007,Dolphin Stadium (Miami),Indianapolis,Chicago,29.0,17.0
XLII,"Feb. 3, 2008",2008,"University of Phoenix Stadium (Glendale, Ariz.)",New York Giants,New England,17.0,14.0
XLIII,"Feb. 1, 2009",2009,"Raymond James Stadium (Tampa, Fla.)",Pittsburgh,Arizona,27.0,23.0
XLIV,"Feb. 7, 2010",2010,Sun Life Stadium (Miami),New Orleans,Indianapolis,31.0,17.0
XLV,"Feb. 6, 2011",2011,"Cowboys Stadium (Arlington, Texas)",Green Bay,Pittsburgh,31.0,25.0
XLVI,"Feb. 5, 2012",2012,Lucas Oil Stadium (Indianapolis),New York Giants,New England,21.0,17.0
XLVII,"Feb. 3, 2013",2013,Mercedes-Benz Superdome (New Orleans),Baltimore,San Francisco,34.0,31.0
XLVIII,"Feb. 2, 2014",2014,"MetLife Stadium (East Rutherford, N.J.)",Seattle,Denver,43.0,8.0
XLIX,"Feb. 1, 2015",2015,"University of Phoenix Stadium (Glendale, Ariz.)",New England,Seattle,28.0,24.0
L,"Feb. 7, 2016",2016,"Levi's Stadium (Santa Clara, Calif.)",Denver,Carolina,24.0,10.0
LI,"Feb. 5, 2017",2017,NRG Stadium (Houston),New England,Atlanta,34.0,28.0
LII,"Feb. 4, 2018",2018,U.S. Bank Stadium (Minneapolis),Philadelphia,New England,41.0,33.0
LIII,"Feb. 3, 2019",2019,Mercedes-Benz Stadium (Atlanta),New England,Los Angeles Rams,13.0,3.0
LIV,"Feb. 2, 2020",2020,Hard Rock Stadium (Miami),Kansas City,San Francisco,31.0,20.0
LV,"Feb. 7, 2021",2021,"Raymond James Stadium (Tampa, Fla.)",Tampa Bay,Kansas City,31.0,9.0
LVI,"Feb. 13, 2022",2022,"SoFi Stadium (Inglewood, Calif.)",Los Angeles Rams,Cincinnati,23.0,20.0
LVII,"Feb. 12, 2023",2023,"State Farm Stadium (Glendale, Ariz.)",Kansas City,Philadelphia,38.0,35.0
LVIII,"Feb. 11, 2024",2024,Allegiant Stadium (Las Vegas),Kansas City,San Francisco,25.0,22.0
LIX,"Feb. 9, 2025",2025,Caesars Superdome (New Orleans),Philadelphia,Kansas City,40.0,22.0
LX,"Feb. 8, 2026",2026,"Levi's Stadium (Santa Clara, Calif.)",Seattle,New England,29.0,13.0
